pl_name,discoverymethod,pl_orbper,pl_eqt,st_spectype,pl_rade,pl_masse,st_radv,st_lumstr,st_mass
HD 151450 b,Radial Velocity,21.89288,,,6.94,,,"<div><span class=supersubNumber"">0.23146500</span><span class=""superscript"">+0.01354386</span><span class=""subscript"">-0.01397653</span></div>""",1.14
Kepler-546 b,Transit,4.147020258,1258,,7,,,0.2705666,1.11
NGTS-16 b,Transit,4.84532,1177,G7 V,14.57167491,2.12E+02,29.13,0.117318,1.002
K2-6 b,Transit,30.94191,615,,2.5,,7.68724,"<div><span class=supersubNumber"">-0.12005658</span><span class=""superscript"">+0.01117870</span><span class=""subscript"">-0.01147411</span></div>""",0.97
Kepler-497 b,Transit,3.573203671,1210,,6.04,,,"<div><span class=supersubNumber"">0.25215996</span><span class=""superscript"">+0.04033617</span><span class=""subscript"">-0.04446967</span></div>""",1.09
Kepler-971 b,Transit,9.59070716,1087,,2.13,,,"<div><span class=supersubNumber"">-0.2987279</span><span class=""superscript"">+0.0290177</span><span class=""subscript"">-0.0139577</span></div>""",0.88
Kepler-452 b,Transit,384.843,265,G2,1.63,,,"<div><span class=supersubNumber"">0.084479400</span><span class=""superscript"">+0.017157128</span><span class=""subscript"">-0.017213397</span></div>""",1.037
Kepler-553 b,Transit,4.030467,1089,,4.74139884,1.16E+02,,"<div><span class=supersubNumber"">-0.271</span><span class=""superscript"">+0.032</span><span class=""subscript"">-0.035</span></div>""",0.889
Kepler-1791 b,Transit,7.720860004,1021,,3.12103321,,,0.176,0.985
Kepler-399 d,Transit,58.034616,486,,1.89,,,-0.418,0.902
Kepler-1355 b,Transit,1.289588112,1448,,1.46,,,-0.3292167,0.88
Kepler-83 b,Transit,9.77,460,M0 V,2.83,2.94E+00,,"<div><span class=supersubNumber"">-1.1</span><span class=""superscript"">+0.1</span><span class=""subscript"">-0.1</span></div>""",0.66
Kepler-1827 b,Transit,3.700619936,1329,,1.85644292,,,0.187,0.915
Kepler-1886 b,Transit,24.2758007,580,,2.58158428,,,-0.1610103,0.928
Kepler-102 f,Transit,27.453592,495,,0.861,4.30E+00,-27.66554,"<div><span class=supersubNumber"">-0.5843577</span><span class=""superscript"">+0.0158184</span><span class=""subscript"">-0.0107146</span></div>""",0.803
Kepler-102 b,Transit,5.286965,857,,0.46,1.10E+00,-27.66554,"<div><span class=supersubNumber"">-0.5843577</span><span class=""superscript"">+0.0158184</span><span class=""subscript"">-0.0107146</span></div>""",0.803
Kepler-1467 b,Transit,47.0569043,411,,3.3,,,-0.3505178,0.86
TOI-139 b,Transit,11.07085,561.17,,2.4566,,,"<div><span class=supersubNumber"">-0.7784233</span><span class=""superscript"">+0.0234244</span><span class=""subscript"">-0.0239979</span></div>""",0.69
TOI-672 b,Transit,3.633575,676.15,,5.2604,,,"<div><span class=supersubNumber"">-1.32055</span><span class=""superscript"">+0.09082</span><span class=""subscript"">-0.11497</span></div>""",0.5399
Kepler-204 b,Transit,14.400974,828,,2.53,,,0.02981096,1.038
HIP 5158 b,Radial Velocity,345.72,,,13.6,,15.2793,-0.96,0.78
Kepler-1311 c,Transit,2.53573424,1671,,1.22,,,"<div><span class=supersubNumber"">0.4718647</span><span class=""superscript"">+0.0146236</span><span class=""subscript"">-0.0213520</span></div>""",1.05
TOI-908 b,Transit,3.183792,1317,G V,3.186,1.61E+01,,"<div><span class=supersubNumber"">-0.03952780</span><span class=""superscript"">+0.01892956</span><span class=""subscript"">-0.01247471</span></div>""",0.95
Kepler-366 c,Transit,12.51616,848,,1.79,,,0.572771,1.088
HD 136118 b,Radial Velocity,1187.59765,,F7 V,12.3,4.16E+03,,"<div><span class=supersubNumber"">0.56867672</span><span class=""superscript"">+0.01693559</span><span class=""subscript"">-0.01135649</span></div>""",1.18
Kepler-283 b,Transit,11.008151,488,,2.13,,,"<div><span class=supersubNumber"">-0.983</span><span class=""superscript"">+0.047</span><span class=""subscript"">-0.053</span></div>""",0.596
TOI-411 b,Transit,4.040295,1241,F7/F8V,1.362,1.37E+01,,"<div><span class=supersubNumber"">0.20919159</span><span class=""superscript"">+0.01301100</span><span class=""subscript"">-0.01439195</span></div>""",1.098
GJ 357 b,Transit,3.9306,518,M2.5 V,1.2,1.84E+00,-34.6,"<div><span class=supersubNumber"">-1.798</span><span class=""superscript"">+0.010</span><span class=""subscript"">-0.010</span></div>""",0.342
TOI-1052 c,Radial Velocity,35.806,719,,6.48,,54.94602,"<div><span class=supersubNumber"">0.3837263</span><span class=""superscript"">+0.0196610</span><span class=""subscript"">-0.0143643</span></div>""",1.204
Kepler-185 c,Transit,20.729042,530,,2.02,,,-0.5044766,0.763
Kepler-1999 b,Transit,8.7396758,577,,3.29,,,-0.773231,0.632
Kepler-1285 b,Transit,14.7967458,874,,0.97,,-3.72344,"<div><span class=supersubNumber"">0.48088284</span><span class=""superscript"">+0.01968567</span><span class=""subscript"">-0.01134433</span></div>""",1.2
TOI-470 b,Transit,12.19148,660,G,4.34,,,"<div><span class=supersubNumber"">-0.3579851</span><span class=""superscript"">+0.0127986</span><span class=""subscript"">-0.0098827</span></div>""",0.87
Kepler-1003 b,Transit,3.554856915,1157,,1.78,,,0.2815054,1.11
Kepler-213 b,Transit,2.46236,1326,,1.62,,,0.08199682,1.07
Kepler-112 b,Transit,8.408878,809,,2.36,,,-0.08611931,0.782
