pl_name,discoverymethod,pl_orbper,pl_eqt,st_spectype,pl_rade,pl_masse,st_radv,st_lumstr,st_mass
Kepler-1167 b,Transit,1.003933739,1419,,1.71,,,-0.5358931,0.79
Kepler-1740 b,Transit,8.172400475,858,,3.32321414,,,-0.07942043,0.943
Kepler-1581 b,Transit,6.28385491,1108,,0.8,,-6.34237,"<div><span class=supersubNumber"">0.3908491</span><span class=""superscript"">+0.0217060</span><span class=""subscript"">-0.0381841</span></div>""",1.12
Kepler-644 b,Transit,3.173917103,1655,,3.15,,,0.7104062,1.49
Kepler-1752 b,Transit,56.35850143,419,,4.54060463,,,-0.3981945,0.824
Kepler-280 c,Transit,4.807091,1088,,2.01,,,-0.06436836,0.962
Kepler-1208 b,Transit,11.08507637,665,,2.32,,,-0.5534917,0.8
Kepler-263 c,Transit,47.332773,386,,2.47,,,-0.456141,0.793
Kepler-1101 b,Transit,81.3151059,393,,2.47,,,-0.3513474,0.94
HD 168746 b,Radial Velocity,6.404,900,G5,11.1,,-25.562,0.0414,1.07
K2-19 b,Transit,7.9222,779,G9 V,7,3.24E+01,7.31191,"<div><span class=supersubNumber"">-0.2919551</span><span class=""superscript"">+0.0185051</span><span class=""subscript"">-0.0212626</span></div>""",0.88
Kepler-560 b,Transit,18.47764449,298,,1.72,,,"<div><span class=supersubNumber"">-1.717</span><span class=""superscript"">+0.082</span><span class=""subscript"">-0.075</span></div>""",0.34
Kepler-150 d,Transit,12.56093,734,,2.79,,,-0.1614107,0.956
Kepler-498 b,Transit,9.61375356,931,,3.03,,,0.1724181,0.98
Kepler-817 b,Transit,3.990106229,1124,,9.03,,,0.08609205,1.03
Kepler-937 b,Transit,67.668827,495,,3.72,,,0.2809745,1.15
K2-10 b,Transit,19.30553,649,F9,3.773,2.52E+01,8.203,"<div><span class=supersubNumber"">-0.1008845</span><span class=""superscript"">+0.0140835</span><span class=""subscript"">-0.0181508</span></div>""",0.88
Kepler-571 b,Transit,4.798599388,978,,2.64,,,-0.2225271,0.93
Kepler-1458 b,Transit,47.9872764,493,,2.76,,,-0.2403203,0.96
K2-335 b,Transit,12.283211,949,,2.21,,,"<div><span class=supersubNumber"">0.3950932</span><span class=""superscript"">+0.0324830</span><span class=""subscript"">-0.0316779</span></div>""",1.23
Kepler-1600 c,Transit,7.298049927,786,,1.94206512,,,-0.3394463,0.818
Kepler-221 d,Transit,10.04156,712,,2.73,3.61E+00,,-0.4042886,0.854
Kepler-626 b,Transit,14.48585199,784,,2.29,,,-0.04194194,1.01
Kepler-1549 b,Transit,214.886545,286,,2.57,,,-0.2733319,0.88
K2-62 c,Transit,16.19697,495,,1.99,,4.92725,"<div><span class=supersubNumber"">-0.7265765</span><span class=""superscript"">+0.0242341</span><span class=""subscript"">-0.0155998</span></div>""",0.67
Kepler-1149 b,Transit,3.73089898,1128,,1.44,,,0.1654625,1.02
Kepler-1288 b,Transit,2.76122421,2017,,1.12,,,"<div><span class=supersubNumber"">0.30207411</span><span class=""superscript"">+0.05504187</span><span class=""subscript"">-0.06304428</span></div>""",1.2
Kepler-128 b,Transit,15,968,,1.421,3.79E+00,-21.29645,"<div><span class=supersubNumber"">0.5754180</span><span class=""superscript"">+0.0142833</span><span class=""subscript"">-0.0202021</span></div>""",1.184
Kepler-1245 b,Transit,4.35409304,1043,,1.44,,,"<div><span class=supersubNumber"">-0.41093355</span><span class=""superscript"">+0.02189066</span><span class=""subscript"">-0.02305290</span></div>""",0.86
Kepler-1068 b,Transit,16.92344113,702,,3.63,,,-0.02520898,1.01
Kepler-311 c,Transit,19.738286,744,,1.43,,,0.1932796,0.994
Kepler-150 e,Transit,30.826557,544,,3.12,,,-0.1614107,0.956
Kepler-272 c,Transit,6.057342,947,,1.79,9.78E+01,,0.0663371,0.91
Kepler-152 c,Transit,88.255055,326,,2.39,,,-0.4648824,0.779
Kepler-1506 b,Transit,14.0329154,783,,1.32,,,0.4256107,0.95
CoRoT-3 b,Transit,4.2568,1695,F3 V,11.32,6.88E+03,-56.162,"<div><span class=supersubNumber"">0.39085786</span><span class=""superscript"">+0.03573952</span><span class=""subscript"">-0.03894633</span></div>""",1.37
HD 205739 b,Radial Velocity,279.8,,F7 V,13.6,,9.1,0.36,1.22
NGTS-10 b,Transit,0.7668944,1332,K5 V,13.506845,6.87E+02,39.0931,"<div><span class=supersubNumber"">-0.756734</span><span class=""superscript"">+0.068305</span><span class=""subscript"">-0.081090</span></div>""",0.696
HD 224693 b,Radial Velocity,26.6904,,G2 V,14,,1.48787,0.61&plusmn;0.08,1.31
HD 156279 b,Radial Velocity,133.40355,,G6,12.5,,-20.6432,"<div><span class=supersubNumber"">-0.14596498</span><span class=""superscript"">+0.00073301</span><span class=""subscript"">-0.00073425</span></div>""",0.94
HD 12661 b,Radial Velocity,262.70862,,K0,13.3,,-47.37504,"<div><span class=supersubNumber"">0.13269729</span><span class=""superscript"">+0.00991431</span><span class=""subscript"">-0.01048918</span></div>""",1.2
2MASS J12073346-3932539 b,Imaging,,1250,M8,12.9,1.59E+03,,"<div><span class=supersubNumber"">-2.5609</span><span class=""superscript"">+0.1100</span><span class=""subscript"">-0.1476</span></div>""",0.024
HD 16417 b,Radial Velocity,17.24,,G1 V,5,,11.15373,"<div><span class=supersubNumber"">0.44317019</span><span class=""superscript"">+0.00086153</span><span class=""subscript"">-0.00086323</span></div>""",1.2
HD 19994 b,Radial Velocity,466.2,,F8 V,13.6,,19,0.58,1.365
61 Vir b,Radial Velocity,4.215,,G5 V,2.11,,-8.2,-0.095&plusmn;0.003,0.942
HD 156279 c,Radial Velocity,4818.25358,,G6,12.5,3.10E+03,-20.6432,"<div><span class=supersubNumber"">-0.14596498</span><span class=""superscript"">+0.00073301</span><span class=""subscript"">-0.00073425</span></div>""",0.94
GJ 179 b,Radial Velocity,2288,,M3.5 V,13.8,3.02E+02,,"<div><span class=supersubNumber"">-1.796</span> <span class=""superscript"">+0.051</span><span class=""subscript"">-0.058</span> </div>""",0.357
GQ Lup b,Imaging,,2650,K7e V,33.6,6.36E+03,,"<div><span class=supersubNumber"">-0.072389897</span><span class=""superscript"">+0.005575422</span><span class=""subscript"">-0.005647931</span></div>""",0.7
GJ 832 b,Radial Velocity,3853,,M2/3 V,13.8,3.15E+02,12.52269,-1.585,0.45
HD 37605 b,Radial Velocity,55.01292,,K0,13.2,,-21.80673,-0.22&plusmn;0.05,0.94
HD 33283 b,Radial Velocity,18.1991,,G3/G5 V,12.5,,5.00844,0.64&plusmn;0.05,1.38
HD 9446 b,Radial Velocity,30.052,,G5 V,14,,21.715,0.041,1
61 Vir c,Radial Velocity,38.021,,G5 V,4.46,,-8.2,-0.095&plusmn;0.003,0.942
61 Vir d,Radial Velocity,123.01,,G5 V,5.11,,-8.2,-0.095&plusmn;0.003,0.942
HD 134987 c,Radial Velocity,5000,,G5 V,13.9,,5.20598,"<div><span class=supersubNumber"">0.255</span><span class=""superscript"">+0.033</span><span class=""subscript"">-0.035</span></div>""",1.1
HD 110014 b,Radial Velocity,835.477,,K2 III,12.4,,-18.62,"<div><span class=supersubNumber"">2.3040817</span><span class=""superscript"">+0.0095872</span><span class=""subscript"">-0.0098037</span></div>""",2.17
HD 79498 b,Radial Velocity,1807,,G5,13.6,,19.9247,0.03&plusmn;0.03,1.08
HD 45652 b,Radial Velocity,44.073,,G8/K0,14.3,,-5.117,-0.20&plusmn;0.03,0.92
HIP 79431 b,Radial Velocity,111.7,,M3 V,13.4,,-4.7,"<div><span class=supersubNumber"">-1.54921</span><span class=""superscript"">+0.09481</span><span class=""subscript"">-0.12147</span></div>""",0.49
HD 3167 b,Transit,0.959641,1774,K0 V,1.67,4.97E+00,19.531,"<div><span class=supersubNumber"">-0.270</span><span class=""superscript"">+0.024</span><span class=""subscript"">-0.026</span></div>""",0.837
GJ 876 b,Radial Velocity,61.1166,,M2.5V,13.3,7.23E+02,-1.6,-1.91,0.32
HD 114783 c,Radial Velocity,4352,,K1 V,13.4,6.04E+02,-12.10684,"<div><span class=supersubNumber"">-0.3724998</span><span class=""superscript"">+0.0129825</span><span class=""subscript"">-0.0129194</span></div>""",0.9
HD 47186 c,Radial Velocity,1353.6,,G6 V,13,,4.3035,"<div><span class=supersubNumber"">0.042975761</span><span class=""superscript"">+0.000831942</span><span class=""subscript"">-0.000833538</span></div>""",0.96
HD 114783 b,Radial Velocity,493.7,,K0,13.7,,-12.10684,"<div><span class=supersubNumber"">-0.3724998</span><span class=""superscript"">+0.0129825</span><span class=""subscript"">-0.0129194</span></div>""",0.853
HD 148156 b,Radial Velocity,1027,,G0/2 V,13.9,,-1.83901,0.25,1.22
HD 12661 c,Radial Velocity,1708,,K0,13.2,8.99E+02,-47.37504,0.063&plusmn;0.063,1.02
HIP 14810 c,Radial Velocity,147.747,,G5,13.6,,-4.75345,-0.01&plusmn;0.06,1.01
HIP 14810 b,Radial Velocity,6.673892,,G5,13,,-4.75345,-0.01&plusmn;0.06,1.01
GJ 876 d,Radial Velocity,1.93778,,M2.5V,2.51,6.83E+00,-1.6,-1.91,0.32
GJ 876 e,Radial Velocity,124.26,,M2.5V,3.92,1.46E+01,-1.6,-1.91,0.32
gam1 Leo b,Radial Velocity,428.5,,K1 IIIb Fe-0.5,12.5,,,2.51,1.23
HD 156411 b,Radial Velocity,842.2,,F8 IV/V,14,,-38.7512,0.731,1.25
HD 8535 b,Radial Velocity,1313,,G0 V,14,,2.4588,"<div><span class=supersubNumber"">0.33266353</span><span class=""superscript"">+0.00118491</span><span class=""subscript"">-0.00118817</span></div>""",1.13
HD 37605 c,Radial Velocity,2720,,K0,13.1,,-21.80673,-0.22&plusmn;0.05,0.94
HD 1605 c,Radial Velocity,2149,,K1 IV,13,,9.92933,0.81&plusmn;0.05,1.33
BD+20 2457 b,Radial Velocity,379.63,,K2 II,12.1,,145.7685,3.17,2.8
HD 240210 b,Radial Velocity,501.75,,K3 III,12.8,,8.79582,1.55,0.82
CoRoT-17 b,Transit,3.7681,1626,G2 V,11.43,7.72E+02,54.77,"<div><span class=supersubNumber"">0.13420788</span><span class=""superscript"">+0.04488022</span><span class=""subscript"">-0.05005842</span></div>""",1.04
HD 132563 b,Radial Velocity,1544,,F8,13.6,,,"<div><span class=supersubNumber"">0.3740799</span><span class=""superscript"">+0.0190466</span><span class=""subscript"">-0.0137836</span></div>""",1.231
HD 55696 b,Radial Velocity,1827,,G0 V,12.9,1.36E+03,19.71555,0.43&plusmn;0.04,1.29
HD 148164 b,Radial Velocity,328.55,,F8,13.7,,-64.63357,0.33&plusmn;0.07,1.21
24 Sex c,Radial Velocity,883,,K0 IV,13.9,,7.28611,1.164&plusmn;0.003,1.54
HD 192310 c,Radial Velocity,525.8,185,K3V,5.25,,-54.2232,"<div><span class=supersubNumber"">-0.415</span><span class=""superscript"">+0.008</span><span class=""subscript"">-0.008</span></div>""",0.8
HD 22781 b,Radial Velocity,528.07,,K1,12.3,,8.2508,"<div><span class=supersubNumber"">-0.47556022</span><span class=""superscript"">+0.00181978</span><span class=""subscript"">-0.00182743</span></div>""",0.75
HD 68988 b,Radial Velocity,6.27711,,G2 V,13.4,,-69.5,"<div><span class=supersubNumber"">0.22183596</span><span class=""superscript"">+0.00185525</span><span class=""subscript"">-0.00186321</span></div>""",1.28
HD 148164 c,Radial Velocity,5062,,F8,12.8,,-64.63357,0.33&plusmn;0.07,1.21
HD 29985 b,Radial Velocity,20608.14049,,,12.8,1.74E+03,,"<div><span class=supersubNumber"">-0.8462327</span><span class=""superscript"">+0.0191227</span><span class=""subscript"">-0.0130752</span></div>""",0.75
HD 3167 c,Transit,29.8454,564,K0 V,3,1.11E+01,19.531,"<div><span class=supersubNumber"">-0.270</span><span class=""superscript"">+0.024</span><span class=""subscript"">-0.026</span></div>""",0.837
HD 90156 b,Radial Velocity,49.77,,G5V,4.43,,26.85498,"<div><span class=supersubNumber"">-0.14</span><span class=""superscript"">+0.01</span><span class=""subscript"">-0.01</span></div>""",0.84
HD 45350 b,Radial Velocity,963.6,,G5 V,13.5,,-20.72582,"<div><span class=supersubNumber"">0.14065100</span><span class=""superscript"">+0.00883455</span><span class=""subscript"">-0.01238860</span></div>""",0.98
MOA-2009-BLG-266L b,Microlensing,2800,,,3.21,1.04E+01,,,0.56
Kepler-595 c,Transit,12.38602,679,,1.009,3.30E+00,,-0.3476832,0.93
Kepler-595 b,Transit,25.3029092,535,,3.708,1.74E+01,,-0.3476832,0.93
HD 177830 c,Radial Velocity,110.9,,K0,7.87,,-72.14281,"<div><span class=supersubNumber"">0.6850</span><span class=""superscript"">+0.0818</span><span class=""subscript"">-0.1008</span></div>""",1.47
ups And c,Radial Velocity,241.258,,F8 V,12.3,4.44E+03,-28.655,"<div><span class=supersubNumber"">0.525412</span><span class=""superscript"">+0.013136</span><span class=""subscript"">-0.017631</span></div>""",1.3
OGLE-TR-111 b,Transit,4.0144463,1019,K2 V,11.421971,1.75E+02,25.154,-0.3386236,0.82
HD 192310 b,Radial Velocity,74.72,355,K3V,4.27,,-54.2232,"<div><span class=supersubNumber"">-0.415</span><span class=""superscript"">+0.008</span><span class=""subscript"">-0.008</span></div>""",0.8
PSR B1257+12 b,Pulsar Timing,25.262,,,0.338,2.00E-02,,,1.4
PSR B1257+12 d,Pulsar Timing,98.2114,,,1.8,3.90E+00,,,1.4
ups And d,Radial Velocity,1276.46,,F8 V,12.5,3.26E+03,-28.655,"<div><span class=supersubNumber"">0.525412</span><span class=""superscript"">+0.013136</span><span class=""subscript"">-0.017631</span></div>""",1.3
MOA-2007-BLG-192L b,Microlensing,,,,1.63,3.30E+00,,,0.06
CoRoT-18 b,Transit,1.9000693,1550,G9 V,14.68,1.10E+03,29.55,-0.17&plusmn;0.06,0.95
Kepler-45 b,Transit,2.455239,1000,M,10.76,1.60E+02,,"<div><span class=supersubNumber"">-1.3</span><span class=""superscript"">+0.1</span><span class=""subscript"">-0.1</span></div>""",0.59
WASP-23 b,Transit,2.9444256,1076.55,,10.783,2.81E+02,5.83366,"<div><span class=supersubNumber"">-0.37678659</span><span class=""superscript"">+0.00372823</span><span class=""subscript"">-0.00376052</span></div>""",0.78
HD 107148 b,Radial Velocity,48.056,,G5 V,9.6,,25.12867,"<div><span class=supersubNumber"">0.12080845</span><span class=""superscript"">+0.00141421</span><span class=""subscript"">-0.00141880</span></div>""",1.12
SWEEPS-11 b,Transit,1.796,,,12.666,3.08E+03,,,1.1
OGLE-TR-211 b,Transit,3.67724,1686,,15.244,3.27E+02,,"<div><span class=supersubNumber"">0.26657015</span><span class=""superscript"">+0.06537357</span><span class=""subscript"">-0.07698828</span></div>""",1.33
Lupus-TR-3 b,Transit,3.91405,,,9.976,2.57E+02,,-1.4639,0.87
OGLE-2005-BLG-390L b,Microlensing,3285,50,,2.21,5.50E+00,,,0.22
HN Peg b,Imaging,,,G0 V,11.7768,6.99E+03,-17.2,"<div><span class=supersubNumber"">0.060240873</span><span class=""superscript"">+0.000820150</span><span class=""subscript"">-0.000821701</span></div>""",1.08
HD 102365 b,Radial Velocity,122.1,,G3/5V,4.14,,16.8,"<div><span class=supersubNumber"">-0.05665009</span><span class=""superscript"">+0.00115073</span><span class=""subscript"">-0.00115378</span></div>""",0.85
MOA-2009-BLG-387L b,Microlensing,1980,,,13.2,8.30E+02,,,0.19
GJ 674 b,Radial Velocity,4.6938,,M2.5,3.33,,,-1.796,0.35
CoRoT-11 b,Transit,2.99433,1657,F6 V,16.03,7.41E+02,-1.342,"<div><span class=supersubNumber"">0.37752994</span><span class=""superscript"">+0.02269352</span><span class=""subscript"">-0.02394504</span></div>""",1.27
HD 69830 c,Radial Velocity,31.56,,K0V,3.46,,29.8,-0.22&plusmn;0.02,0.86
2MASS J04414489+2301513 b,Imaging,,,M8.5,12.6,2.38E+03,,"<div><span class=supersubNumber"">-2.4436</span><span class=""superscript"">+0.1308</span><span class=""subscript"">-0.1881</span></div>""",0.019
GJ 3634 b,Radial Velocity,2.64561,,M2.5,2.83,8.40E+00,5.18635,"<div><span class=supersubNumber"">-1.699</span> <span class=""superscript"">+0.041</span><span class=""subscript"">-0.046</span> </div>""",0.45
CoRoT-13 b,Transit,4.03519,1700,G0 V,9.92,4.16E+02,22.4536,"<div><span class=supersubNumber"">0.073138097</span><span class=""superscript"">+0.047690677</span><span class=""subscript"">-0.053581170</span></div>""",1.09
OGLE-TR-10 b,Transit,3.101278,1702,G2 V,14.011,1.97E+02,-6.246,"<div><span class=supersubNumber"">0.188</span><span class=""superscript"">+0.126</span><span class=""subscript"">-0.123</span></div>""",1.14
HD 27442 b,Radial Velocity,428.1,,K1/2III,13.5,,29.03293,"<div><span class=supersubNumber"">0.85090447</span><span class=""superscript"">+0.00194736</span><span class=""subscript"">-0.00195615</span></div>""",1.23
HD 69830 d,Radial Velocity,197,,K0V,4.45,,29.8,-0.22&plusmn;0.02,0.86
GJ 3021 b,Radial Velocity,133.71,350,G6 V,13.1,,-5.806,-0.18,0.9
HD 221416 b,Transit,14.2767,789.15,K0 IV/V,9.17,6.05E+01,25.28693,"<div><span class=supersubNumber"">0.712</span><span class=""superscript"">+0.014</span><span class=""subscript"">-0.015</span></div>""",1.212
CoRoT-8 b,Transit,6.21229,870,K1 V,6.39,6.99E+01,-37.468,-0.40&plusmn;0.05,0.88
Kepler-18 c,Transit,7.64159,899,,5.49,1.73E+01,,-0.031&plusmn;0.035,0.972
Kepler-18 b,Transit,3.504725,1165,,2,6.90E+00,,-0.031&plusmn;0.035,0.972
HD 46375 b,Radial Velocity,3.023573,,K1 IV-V,10,,-1.06646,"<div><span class=supersubNumber"">-0.24501913</span><span class=""superscript"">+0.00080496</span><span class=""subscript"">-0.00080646</span></div>""",0.92
HD 147513 b,Radial Velocity,528.4,,G3/5V,13.7,,12.6,-0.01,1.11
HD 221287 b,Radial Velocity,456.1,,F7 V,13.1,,-21.90084,0.22,1.25
HD 33564 b,Radial Velocity,388,,F6 V,12.5,,0.107,"<div><span class=supersubNumber"">0.53504274</span><span class=""superscript"">+0.00210611</span><span class=""subscript"">-0.00211637</span></div>""",1.25
OGLE2-TR-L9 b,Transit,2.4855335,2034,,18.046,1.43E+03,,"<div><span class=supersubNumber"">0.51197077</span><span class=""superscript"">+0.04920341</span><span class=""subscript"">-0.05549888</span></div>""",1.52
Kepler-4 b,Transit,3.21346,1650,,4.002,2.45E+01,-61,"<div><span class=supersubNumber"">0.354</span> <span class=""superscript"">+0.111</span><span class=""subscript"">-0.104</span> </div>""",1.223
Kepler-18 d,Transit,14.85888,720,,6.98,1.64E+01,,-0.031&plusmn;0.035,0.972
HAT-P-37 b,Transit,2.797436,1271,,13.204,3.72E+02,-20.53,"<div><span class=supersubNumber"">-0.208</span><span class=""superscript"">+0.071</span><span class=""subscript"">-0.069</span></div>""",0.929
HD 129445 b,Radial Velocity,1840,,G6 V,13.3,7.98E+02,7.5,"<div><span class=supersubNumber"">0.089675758</span><span class=""superscript"">+0.001564432</span><span class=""subscript"">-0.001570088</span></div>""",0.99
Kepler-419 c,Transit Timing Variations,675.47,,,12.6,2.32E+03,,"<div><span class=supersubNumber"">0.7268017</span><span class=""superscript"">+0.0264186</span><span class=""subscript"">-0.0281257</span></div>""",1.39
51 Eri b,Imaging,9100,700,F0 IV,,3.46E+03,17.3,"<div><span class=supersubNumber"">0.7515689</span><span class=""superscript"">+0.0131444</span><span class=""subscript"">-0.0197218</span></div>""",1.75
HD 70573 b,Radial Velocity,851.8,,G1-1.5 V,12.8,,20.46006,"<div><span class=supersubNumber"">-0.000829120808</span><span class=""superscript"">+0.001656011537</span><span class=""subscript"">-0.001662367737</span></div>""",1
HD 47536 b,Radial Velocity,712.13,,K1 III,12.6,,79.395,"<div><span class=supersubNumber"">2.2484471</span><span class=""superscript"">+0.0056991</span><span class=""subscript"">-0.0057748</span></div>""",2.1
CoRoT-14 b,Transit,1.51214,1952,F9 V,12.22,2.42E+03,,"<div><span class=supersubNumber"">0.11883839</span><span class=""superscript"">+0.07933865</span><span class=""subscript"">-0.09714622</span></div>""",1.13
47 UMa c,Radial Velocity,2391,,G0V,14.2,,11.22,"<div><span class=supersubNumber"">0.19780250</span><span class=""superscript"">+0.01238673</span><span class=""subscript"">-0.01118334</span></div>""",1.06
47 UMa b,Radial Velocity,1078,,G0V,13.2,,11.22,"<div><span class=supersubNumber"">0.19780250</span><span class=""superscript"">+0.01238673</span><span class=""subscript"">-0.01118334</span></div>""",1.06
47 UMa d,Radial Velocity,14002,,G0V,13.5,,11.22,"<div><span class=supersubNumber"">0.19780250</span><span class=""superscript"">+0.01238673</span><span class=""subscript"">-0.01118334</span></div>""",1.06
MOA-2008-BLG-310L b,Microlensing,,,,5.18,2.34E+01,,,0.21
Kepler-419 b,Transit,69.7546,613,,10.8,7.95E+02,,"<div><span class=supersubNumber"">0.7268017</span><span class=""superscript"">+0.0264186</span><span class=""subscript"">-0.0281257</span></div>""",1.39
HD 24040 b,Radial Velocity,3668,,G0 V,12.9,1.59E+03,-9.9,"<div><span class=supersubNumber"">0.27568535</span><span class=""superscript"">+0.01166266</span><span class=""subscript"">-0.01158544</span></div>""",1.11
HD 11964 c,Radial Velocity,37.91,,G9 V CN+1,5.38,,-9.31811,"<div><span class=supersubNumber"">0.45904582</span><span class=""superscript"">+0.00695935</span><span class=""subscript"">-0.01135361</span></div>""",0.91
CoRoT-6 b,Transit,8.886593,1017,F9 V,13.068,9.41E+02,-18.243,"<div><span class=supersubNumber"">0.025730038</span><span class=""superscript"">+0.019858171</span><span class=""subscript"">-0.020809922</span></div>""",1.05
WASP-31 b,Transit,3.4059096,1423.7,,17.363,1.52E+02,-0.33858,"<div><span class=supersubNumber"">0.3357180</span><span class=""superscript"">+0.0205930</span><span class=""subscript"">-0.0248111</span></div>""",1.163
Kepler-59 c,Transit,17.9801235,752,,1.98,3.81E+00,,0.3237447,1.04
Kepler-58 c,Transit,15.5741568,799,,2.86,5.30E+01,,-0.004220635,0.95
HD 154857 c,Radial Velocity,3452,,G5 V,13.2,,28.05845,"<div><span class=supersubNumber"">0.66269061</span><span class=""superscript"">+0.00715663</span><span class=""subscript"">-0.01466332</span></div>""",1.718
KOI-217 b,Transit,3.90512,1046,,12.442,,,-0.1687182,0.95
Kepler-51 c,Transit,85.312,439,,9,4.00E+00,,-0.1417041,1.04
BD-210397 c,Radial Velocity,6240,,K7 V,12.9,1.53E+03,,"<div><span class=supersubNumber"">-0.870</span><span class=""superscript"">+0.006</span><span class=""subscript"">-0.006</span></div>""",0.69
Kepler-62 c,Transit,12.4417,578,K2 V,0.54,4.00E+00,,"<div><span class=supersubNumber"">-0.678</span> <span class=""superscript"">+0.040</span><span class=""subscript"">-0.043</span> </div>""",0.69
Kepler-62 b,Transit,5.714932,750,K2 V,1.31,9.00E+00,,"<div><span class=supersubNumber"">-0.678</span> <span class=""superscript"">+0.040</span><span class=""subscript"">-0.043</span> </div>""",0.69
CHXR 73 b,Imaging,,,M3.5,12.3,3.99E+03,,,0.35
FU Tau b,Imaging,,2375,M7.25,12.2,5.09E+03,,-0.7,0.05
GJ 667 C b,Radial Velocity,7.203,,M1.5 V,2.25,,6.5,"<div><span class=supersubNumber"">-1.863</span> <span class=""superscript"">+0.028</span><span class=""subscript"">-0.030</span> </div>""",0.33
HD 168443 c,Radial Velocity,1753.1096,,G5,12.2,5.50E+03,-0.04653,"<div><span class=supersubNumber"">0.38246354</span><span class=""superscript"">+0.01025550</span><span class=""subscript"">-0.00975232</span></div>""",0.98
Kepler-59 b,Transit,11.8681707,864,,1.1,4.10E+00,,0.3237447,1.04
Kepler-53 b,Transit,18.6489525,701,,2.89,1.11E+02,,0.03558021,0.98
HD 82943 c,Radial Velocity,220.078,,G2/3V,13.4,6.23E+02,8.1,"<div><span class=supersubNumber"">0.19405372</span><span class=""superscript"">+0.01034247</span><span class=""subscript"">-0.01474652</span></div>""",1.08
HD 82943 b,Radial Velocity,441.47,,G2/3V,13.5,5.34E+02,8.1,"<div><span class=supersubNumber"">0.19405372</span><span class=""superscript"">+0.01034247</span><span class=""subscript"">-0.01474652</span></div>""",1.08
UZ For b,Eclipse Timing Variations,5840,,,,2.00E+03,,,0.7
Kepler-69 b,Transit,13.722341,779,G4 V,2.24,,-38.7,"<div><span class=supersubNumber"">-0.097</span> <span class=""superscript"">+0.165</span><span class=""subscript"">-0.140</span> </div>""",0.81
HIP 5158 c,Radial Velocity,9017.76,,,12.2,,15.2793,"<div><span class=supersubNumber"">-0.5607968</span><span class=""superscript"">+0.0186581</span><span class=""subscript"">-0.0204282</span></div>""",0.78
HU Aqr AB b,Eclipse Timing Variations,2390,,,12.8,,,,0.88
Kepler-37 e,Transit Timing Variations,51.196,401,,0.37,,-30.1,"<div><span class=supersubNumber"">-0.3218689</span><span class=""superscript"">+0.0088020</span><span class=""subscript"">-0.0095229</span></div>""",0.8
Kepler-65 d,Transit,8.13123,1117,,1.52,4.14E+00,-16.72015,"<div><span class=supersubNumber"">0.4674049</span><span class=""superscript"">+0.0162747</span><span class=""subscript"">-0.0163811</span></div>""",1.25
Kepler-52 c,Transit,16.3850021,433,M0 V,1.84,4.54E+01,,"<div><span class=supersubNumber"">-0.996</span><span class=""superscript"">+0.049</span><span class=""subscript"">-0.055</span></div>""",0.54
Kepler-55 b,Transit,27.9481449,400,,2.43,4.30E+01,,-0.7632388,0.62
UZ For c,Eclipse Timing Variations,1916.25,,,,2.45E+03,,,0.7
Kepler-413 b,Transit,66.262,,,4.347,6.70E+01,-27.784,"<div><span class=supersubNumber"">-0.42993557</span><span class=""superscript"">+0.02688980</span><span class=""subscript"">-0.02866524</span></div>""",0.82
HAT-P-42 b,Transit,4.641878,1428,,14.348,3.32E+02,20.26,"<div><span class=supersubNumber"">0.356</span> <span class=""superscript"">+0.075</span><span class=""subscript"">-0.091</span> </div>""",1.178
WASP-59 b,Transit,7.919585,670,K5 V,8.687,2.74E+02,-56.7976,"<div><span class=supersubNumber"">-0.79407110</span><span class=""superscript"">+0.00308751</span><span class=""subscript"">-0.00310962</span></div>""",0.719
HAT-P-39 b,Transit,3.54387,1752,,17.609,1.90E+02,28.42,"<div><span class=supersubNumber"">0.607</span><span class=""superscript"">+0.049</span><span class=""subscript"">-0.055</span></div>""",1.404
alf Ari b,Radial Velocity,380.8,,K2III,13.4,,-14.6,1.934&plusmn;0.000,1.5
KOI-55 b,Orbital Brightness Modulation,0.240104,,B,0.759,4.40E-01,,"<div><span class=supersubNumber"">1.360</span> <span class=""superscript"">+0.055</span><span class=""subscript"">-0.063</span> </div>""",0.496
WTS-2 b,Transit,1.0187068,2000,K2 V,15.277867,3.56E+02,-20.026,"<div><span class=supersubNumber"">-0.2881154</span><span class=""superscript"">+0.1081209</span><span class=""subscript"">-0.1442916</span></div>""",0.82
KOI-55 c,Orbital Brightness Modulation,0.342887,,B,0.867,6.55E-01,,"<div><span class=supersubNumber"">1.360</span> <span class=""superscript"">+0.055</span><span class=""subscript"">-0.063</span> </div>""",0.496
Ross 458 c,Imaging,,,M2,14.01125,1.91E+03,-11.2,"<div><span class=supersubNumber"">-1.29769</span><span class=""superscript"">+0.09063</span><span class=""subscript"">-0.11467</span></div>""",0.556419
Kepler-38 b,Transit,105.599,475,G4 V,4.3,1.22E+02,,"<div><span class=supersubNumber"">0.49160858</span><span class=""superscript"">+0.02261921</span><span class=""subscript"">-0.02386232</span></div>""",0.941
Kepler-30 d,Transit,143.34394,308,,8.8,2.31E+01,,-0.2365814,0.99
ROXs 42 B b,Imaging,,1975,M0,12.5,2.86E+03,1.13075,"<div><span class=supersubNumber"">-0.79155687</span><span class=""superscript"">+0.00938514</span><span class=""subscript"">-0.00959241</span></div>""",1
